,question,answer
2084,What profession did Gabrielle Bossis have during World War I?,A politician.
2085,What profession did Gabrielle Bossis have during World War I?,Aerial photographer.
2086,What profession did Gabrielle Bossis have during World War I?,Gabrielle Bossis was a war correspondent during World War I.
2087,What profession did Gabrielle Bossis have during World War I?,A botanist.
2088,What profession did Gabrielle Bossis have during World War I?,A spy.
2089,What profession did Gabrielle Bossis have during World War I?,An engineer.
2090,What profession did Gabrielle Bossis have during World War I?,An aviation engineer.
2091,What profession did Gabrielle Bossis have during World War I?,Intelligence Officer.
2092,What profession did Gabrielle Bossis have during World War I?,An artillery instructor.
2094,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1942.
2095,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1925.
2096,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1918.
2097,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1922.
2098,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1939.
2099,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1928.
2100,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1947.
2101,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1948.
2102,In what year did Gabrielle Bossis start hearing a mysterious inner voice?,1945.
2104,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,17.
2105,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,5 notebooks.
2106,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,13 notebooks.
2107,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,Twenty-five notebooks.
2108,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,12 notebooks.
2109,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,7 notebooks.
2110,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,50.
2111,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,8.
2112,How many notebooks did Gabrielle Bossis fill with her mystical experiences?,47.
2114,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Paris.
2115,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Le Havre.
2116,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Brussels.
2117,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Lyon.
2118,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Normandy.
2119,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,In a rural commune on the coast of France.
2120,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Berlin.
2121,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,Strasbourg.
2122,Where did Gabrielle Bossis find refuge during the German occupation in 1940?,London.
2124,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A writer for a popular French television show.
2125,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A poet and painter.
2126,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A philanthropist.
2127,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A sculptor.
2128,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A painter.
2129,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A poet laureate.
2130,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A professional ballerina.
2131,What was Gabrielle Bossis's profession besides being a mystic and playwright?,A fashion designer.
2132,What was Gabrielle Bossis's profession besides being a mystic and playwright?,Astronomer.
2134,In what city was Gabrielle Bossis born?,Bordeaux.
2135,In what city was Gabrielle Bossis born?,Marseille.
2136,In what city was Gabrielle Bossis born?,Paris.
2137,In what city was Gabrielle Bossis born?,Lille.
2138,In what city was Gabrielle Bossis born?,Lyon.
2139,In what city was Gabrielle Bossis born?,Rennes.
2140,In what city was Gabrielle Bossis born?,Versailles.
2141,In what city was Gabrielle Bossis born?,La Rochelle.
2142,In what city was Gabrielle Bossis born?,Angers.
2144,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Bishop Henry Luce.
2145,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,It was Bishop de Saint-Exupéry.
2146,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Bishop LeRoy Odom.
2147,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Bishop von Hoven.
2148,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Bishop von Steuben.
2149,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Monsigneur Michel Brébeuf.
2150,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Bishop de Vries.
2151,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Bishop Pierre Dupont.
2152,Who was the Bishop that Gabrielle Bossis presented her notes to in 1944?,Monsieur le Comte de Sainte-Marie.
2164,What is Franz Welser-Möst's nationality?,German.
2165,What is Franz Welser-Möst's nationality?,Swiss.
2166,What is Franz Welser-Möst's nationality?,Swedish.
2167,What is Franz Welser-Möst's nationality?,Czech.
2168,What is Franz Welser-Möst's nationality?,Hungarian.
2169,What is Franz Welser-Möst's nationality?,Slovenian.
2170,What is Franz Welser-Möst's nationality?,French.
2171,What is Franz Welser-Möst's nationality?,Slovakian.
2172,What is Franz Welser-Möst's nationality?,Finnish.
2174,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Chair of Music Development.
2175,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Resident Conductor.
2176,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Artistic Ambassador.
2177,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Interim director.
2178,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,President of the Cleveland Orchestra Association.
2179,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Resident Conductor for the Cleveland Orchestra.
2180,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Professor of Orchestral Conducting.
2181,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,Resident conductor.
2182,What role does Franz Welser-Möst currently hold with the Cleveland Orchestra?,President.
2184,In which city was Franz Welser-Möst born?,"Hamburg, Germany."
2185,In which city was Franz Welser-Möst born?,"Vienna, Austria."
2186,In which city was Franz Welser-Möst born?,"Graz, Austria."
2187,In which city was Franz Welser-Möst born?,"Zurich, Switzerland."
2188,In which city was Franz Welser-Möst born?,"Prague, Czech Republic."
2189,In which city was Franz Welser-Möst born?,"Paris, France."
2190,In which city was Franz Welser-Möst born?,"Salzburg, Austria."
2191,In which city was Franz Welser-Möst born?,"Innsbruck, Austria."
2192,In which city was Franz Welser-Möst born?,"Berlin, Germany."
2204,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1929.
2205,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1927.
2206,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1930.
2207,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1926.
2208,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1940.
2209,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1935.
2210,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1928.
2211,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1936.
2212,In what year did Red Badgro score the first touchdown in the first NFL Championship Game?,1932.
2214,Which NFL Championship team was Red Badgro a member of in 1934?,Chicago Bears.
2215,Which NFL Championship team was Red Badgro a member of in 1934?,Detroit Lions.
2216,Which NFL Championship team was Red Badgro a member of in 1934?,The Chicago Cardinals.
2217,Which NFL Championship team was Red Badgro a member of in 1934?,Green Bay Packers.
2218,Which NFL Championship team was Red Badgro a member of in 1934?,Philadelphia Eagles.
2219,Which NFL Championship team was Red Badgro a member of in 1934?,Cleveland Rams.
2220,Which NFL Championship team was Red Badgro a member of in 1934?,The Green Bay Packers.
2221,Which NFL Championship team was Red Badgro a member of in 1934?,New York Eagles.
2222,Which NFL Championship team was Red Badgro a member of in 1934?,Pittsburgh Steelers.
2224,What was Red Badgro's role in the 1934 NFL Championship Game?,Coach.
2225,What was Red Badgro's role in the 1934 NFL Championship Game?,Red Badgro was the coach of the Chicago Bears.
2226,What was Red Badgro's role in the 1934 NFL Championship Game?,Red Badgro was the head coach of the Cleveland Rams.
2227,What was Red Badgro's role in the 1934 NFL Championship Game?,Red Badgro was the coach of the Detroit Lions.
2228,What was Red Badgro's role in the 1934 NFL Championship Game?,Head Coach.
2229,What was Red Badgro's role in the 1934 NFL Championship Game?,Referee.
2230,What was Red Badgro's role in the 1934 NFL Championship Game?,Red Badgro was the coach of the team.
2231,What was Red Badgro's role in the 1934 NFL Championship Game?,Red Badgro was the coach of the Green Bay Packers.
2232,What was Red Badgro's role in the 1934 NFL Championship Game?,Co-Coach.
2244,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Tübingen.
2245,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Hamburg.
2246,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Geneva.
2247,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Basel.
2248,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Bielefeld.
2249,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Göttingen.
2250,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Vienna.
2251,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Zurich.
2252,Which university was Karl-Otto Apel a Professor Emeritus at?,University of Berlin.
2254,What was Karl-Otto Apel's field of specialization?,Computer science and information theory.
2255,What was Karl-Otto Apel's field of specialization?,Computational biology.
2256,What was Karl-Otto Apel's field of specialization?,Animal behavior.
2257,What was Karl-Otto Apel's field of specialization?,Archaeology.
2258,What was Karl-Otto Apel's field of specialization?,Ethnology.
2259,What was Karl-Otto Apel's field of specialization?,Theoretical physics.
2260,What was Karl-Otto Apel's field of specialization?,Comparative Linguistics.
2261,What was Karl-Otto Apel's field of specialization?,Medieval History.
2262,What was Karl-Otto Apel's field of specialization?,Cryptography.
2264,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,The philosophical theory of intersubjective hermeneutics.
2265,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,The dialectical phenomenology of intersubjective rationality.
2266,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Existential phenomenology of human sociality.
2267,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Phenomenological hermeneutics with existential phenomenology.
2268,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Pragmatism with existentialism.
2269,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,The Theory of Social Relationalism.
2270,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Phenomenological Hermeneutics and Existential Ontology.
2271,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Social realism.
2272,What major philosophical theory did Karl-Otto Apel co-develop with Jürgen Habermas?,Hermeneutic phenomenology of the human condition.
2284,What architectural firm did Bruce Graham join in 1951?,Harrison & Parsons.
2285,What architectural firm did Bruce Graham join in 1951?,Gensler.
2286,What architectural firm did Bruce Graham join in 1951?,"Graham, Anderson, Probst & White."
2287,What architectural firm did Bruce Graham join in 1951?,Icicle Associates.
2288,What architectural firm did Bruce Graham join in 1951?,Louis Kahn Associates.
2289,What architectural firm did Bruce Graham join in 1951?,"Davis, Burdick and Carpenter."
2290,What architectural firm did Bruce Graham join in 1951?,"Louis Kahn's firm, Kahn & Jacobs."
2291,What architectural firm did Bruce Graham join in 1951?,Frank Lloyd Wright Associates.
2292,What architectural firm did Bruce Graham join in 1951?,Tishman Construction Corporation.
2294,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,The Empire State Building.
2295,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,The John Hancock Center.
2296,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,The John Hancock Tower.
2297,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,Burj Khalifa.
2298,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,Empire State Building.
2299,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,Petronas Twin Towers.
2300,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,"Sears Tower (now known as the Willis Tower, but this answer is for the original name Sears Tower)."
2301,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,The Petronas Twin Towers in Kuala Lumpur.
2302,Which building designed by Bruce Graham was the tallest in the world for nearly 36 years?,One57.
2304,Which university's School of Fine Arts was Bruce Graham extremely involved with?,Carnegie Mellon University.
2305,Which university's School of Fine Arts was Bruce Graham extremely involved with?,Harvard University.
2306,Which university's School of Fine Arts was Bruce Graham extremely involved with?,Brown University.
2307,Which university's School of Fine Arts was Bruce Graham extremely involved with?,"University of California, Berkeley."
2308,Which university's School of Fine Arts was Bruce Graham extremely involved with?,Cornell University.
2309,Which university's School of Fine Arts was Bruce Graham extremely involved with?,University of Virginia.
2310,Which university's School of Fine Arts was Bruce Graham extremely involved with?,Yale University.
2311,Which university's School of Fine Arts was Bruce Graham extremely involved with?,University of Wisconsin–Madison.
2312,Which university's School of Fine Arts was Bruce Graham extremely involved with?,University of Southern California.
2324,What was Erwin Baur's nationality?,Austro-Hungarian.
2325,What was Erwin Baur's nationality?,French.
2326,What was Erwin Baur's nationality?,Australian.
2327,What was Erwin Baur's nationality?,Austrian.
2328,What was Erwin Baur's nationality?,Swiss.
2329,What was Erwin Baur's nationality?,Italian.
2330,What was Erwin Baur's nationality?,Austro-German.
2331,What was Erwin Baur's nationality?,Belgian.
2332,What was Erwin Baur's nationality?,Dutch.
2334,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Director of the Kaiser Wilhelm Institute for Botany and Medicine.
2335,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Deputy Director of the Kaiser Wilhelm Institute.
2336,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Professor of Genetics at the Kaiser Wilhelm Institute.
2337,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Secretary to the Director.
2338,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Secretary of the Institute.
2339,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Curator of Herbarium.
2340,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Professor of Genetic Research.
2341,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Head of the division of plant cytogenetics.
2342,What position did Erwin Baur hold at the Kaiser Wilhelm Institute?,Head of Department of Plant Physiology.
2344,What significant discovery is attributed to Erwin Baur?,The discovery of the structure of chromosomes.
2345,What significant discovery is attributed to Erwin Baur?,The discovery of chloroplasts.
2346,What significant discovery is attributed to Erwin Baur?,The discovery of the genetic control of flowering times.
2347,What significant discovery is attributed to Erwin Baur?,The discovery of the structural basis for the transmission of genetic information.
2348,What significant discovery is attributed to Erwin Baur?,The structure and function of mitochondria.
2349,What significant discovery is attributed to Erwin Baur?,The discovery of the universal genetic code.
2350,What significant discovery is attributed to Erwin Baur?,The discovery of the fundamental principle of hereditary transmission of acquired characteristics.
2351,What significant discovery is attributed to Erwin Baur?,The discovery of the molecular basis of photosynthesis.
2352,What significant discovery is attributed to Erwin Baur?,The discovery of the structure of the bacterial cell wall.
2354,What institute is named after Erwin Baur since 1938?,"The Erwin Baur-Institute for Histology and Embryology in Vienna is actually named after Erwin Baur,"
2355,What institute is named after Erwin Baur since 1938?,The Baur-Institute for Animal Genetics and Breeding Research.
2356,What institute is named after Erwin Baur since 1938?,The International Institute of Bacterial Classification.
2357,What institute is named after Erwin Baur since 1938?,The Institute of Classical Biology.
2358,What institute is named after Erwin Baur since 1938?,"The Erwin Baur-Institute, but renamed as the ""Erwin Baur-Institute of Immunology"" in"
2359,What institute is named after Erwin Baur since 1938?,"The Erwin Baur-Institute is actually named after Erwin Baur, but only in a different part of the world"
2360,What institute is named after Erwin Baur since 1938?,The Erwin Baur-Institute is actually named after Erwin Baur in 1948.
2361,What institute is named after Erwin Baur since 1938?,The Ehrlich Institute.
2362,What institute is named after Erwin Baur since 1938?,"The Erwin Baur-Institute is actually named after Theodor Baur. 
    I assume the question meant to ask"
2374,What nationality is Jean Ziegler?,German.
2375,What nationality is Jean Ziegler?,French.
2376,What nationality is Jean Ziegler?,Swiss.
2377,What nationality is Jean Ziegler?,French-Canadian.
2378,What nationality is Jean Ziegler?,French Swiss.
2379,What nationality is Jean Ziegler?,Belgian.
2380,What nationality is Jean Ziegler?,Romanian.
2381,What nationality is Jean Ziegler?,Austrian.
2382,What nationality is Jean Ziegler?,Norwegian.
2384,What subjects did Jean Ziegler teach as a professor?,Human Rights Law.
2385,What subjects did Jean Ziegler teach as a professor?,Philosophy.
2386,What subjects did Jean Ziegler teach as a professor?,Anthropology.
2387,What subjects did Jean Ziegler teach as a professor?,Economics.
2388,What subjects did Jean Ziegler teach as a professor?,Psychology.
2389,What subjects did Jean Ziegler teach as a professor?,Archaeology.
2390,What subjects did Jean Ziegler teach as a professor?,History and International Relations.
2391,What subjects did Jean Ziegler teach as a professor?,International Law.
2392,What subjects did Jean Ziegler teach as a professor?,Political Science.
2394,At which universities did Jean Ziegler serve as a professor?,"University of California, Berkeley and Columbia University."
2395,At which universities did Jean Ziegler serve as a professor?,"University of Cambridge, Harvard University."
2396,At which universities did Jean Ziegler serve as a professor?,"Harvard University, University of Michigan."
2397,At which universities did Jean Ziegler serve as a professor?,University of Edinburgh and Harvard University.
2398,At which universities did Jean Ziegler serve as a professor?,University of Wisconsin-Madison and Harvard University.
2399,At which universities did Jean Ziegler serve as a professor?,Harvard University and Brown University.
2400,At which universities did Jean Ziegler serve as a professor?,"University of California, Berkeley and Harvard University."
2401,At which universities did Jean Ziegler serve as a professor?,"University of Berlin, University of Heidelberg."
2402,At which universities did Jean Ziegler serve as a professor?,"University of Zurich, University of Cambridge, University of Oxford."
2414,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,John Archibald Wheeler.
2415,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,John Bardeen.
2416,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Richard Feynman.
2417,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,David Finkelstein.
2418,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Robert Wilson.
2419,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Peter Shmidt.
2420,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Joseph Hooton Taylor Jr. and Leon Lederman.
2421,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Russell Alan Hulse shared the Nobel Prize in Physics with Dennis Sciama.
2422,With whom did Russell Alan Hulse share the Nobel Prize in Physics?,Russell Alan Hulse shared the Nobel Prize in Physics with John Archibald Wheeler.
2424,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a new type of quantum computer.
2425,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a new type of particle accelerator.
2426,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,Hulse's discovery of a new form of gravitational resonance.
2427,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a new type of dark matter particle.
2428,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a way to create artificial black holes in a laboratory setting.
2429,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,Hulse won the Nobel Prize for the detection of the first stable astronomical timekeeping system.
2430,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a new type of stable wormhole.
2431,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,The discovery of a new type of radiation resistant organism.
2432,What discovery led Russell Alan Hulse to win the Nobel Prize in Physics?,Hulse discovered a new type of superconductor.
2434,In what year did Russell Alan Hulse receive his PhD?,1972.
2435,In what year did Russell Alan Hulse receive his PhD?,1978.
2436,In what year did Russell Alan Hulse receive his PhD?,1982.
2437,In what year did Russell Alan Hulse receive his PhD?,1973.
2438,In what year did Russell Alan Hulse receive his PhD?,1977.
2439,In what year did Russell Alan Hulse receive his PhD?,1980.
2440,In what year did Russell Alan Hulse receive his PhD?,1967.
2441,In what year did Russell Alan Hulse receive his PhD?,1970.
2442,In what year did Russell Alan Hulse receive his PhD?,1985.
2444,What is the name of the binary pulsar discovered by Russell Alan Hulse?,"PSR J1234, (this does not include any references)."
2445,What is the name of the binary pulsar discovered by Russell Alan Hulse?,PSR 1720-29.
2446,What is the name of the binary pulsar discovered by Russell Alan Hulse?,PSR 1820-290.
2447,What is the name of the binary pulsar discovered by Russell Alan Hulse?,PSR B1531.
2448,What is the name of the binary pulsar discovered by Russell Alan Hulse?,"PSR 1227. 
    a) PSR 1227 is a binary pulsar discovered in 1974"
2449,What is the name of the binary pulsar discovered by Russell Alan Hulse?,PSR 1543.
2450,What is the name of the binary pulsar discovered by Russell Alan Hulse?,"PSR B1706. In order to find the correct answer, we will need to use a different method than the original"
2451,What is the name of the binary pulsar discovered by Russell Alan Hulse?,"PSR 0835. Since 1985 I have been studying it, and I am now ready to share my findings"
2452,What is the name of the binary pulsar discovered by Russell Alan Hulse?,PSR J1730-4441.
2454,At which university did Russell Alan Hulse become a visiting professor in 2003?,Swarthmore College.
2455,At which university did Russell Alan Hulse become a visiting professor in 2003?,Carnegie Mellon University.
2456,At which university did Russell Alan Hulse become a visiting professor in 2003?,The Massachusetts Institute of Technology (MIT).
2457,At which university did Russell Alan Hulse become a visiting professor in 2003?,Harvard University.
2458,At which university did Russell Alan Hulse become a visiting professor in 2003?,MIT.
2459,At which university did Russell Alan Hulse become a visiting professor in 2003?,Brown University.
2460,At which university did Russell Alan Hulse become a visiting professor in 2003?,Stanford University.
2461,At which university did Russell Alan Hulse become a visiting professor in 2003?,"University of California, Los Angeles."
2462,At which university did Russell Alan Hulse become a visiting professor in 2003?,Rice University.
2474,Where was Tonino Cervi born?,Venice.
2475,Where was Tonino Cervi born?,Naples.
2476,Where was Tonino Cervi born?,Perugia.
2477,Where was Tonino Cervi born?,Florence.
2478,Where was Tonino Cervi born?,Genoa.
2479,Where was Tonino Cervi born?,Milan.
2480,Where was Tonino Cervi born?,Paris.
2481,Where was Tonino Cervi born?,Modena.
2482,Where was Tonino Cervi born?,Siena.
2484,Of what cause did Tonino Cervi die?,Complications from a long-standing case of pneumonia.
2485,Of what cause did Tonino Cervi die?,Overdose of sleeping pills.
2486,Of what cause did Tonino Cervi die?,A sudden and unexpected assassination.
2487,Of what cause did Tonino Cervi die?,Complications from a brain aneurysm.
2488,Of what cause did Tonino Cervi die?,Cancer.
2489,Of what cause did Tonino Cervi die?,Complications from an excessive amount of eating at the Christmas dinner.
2490,Of what cause did Tonino Cervi die?,Overdose of the drug he was testing.
2491,Of what cause did Tonino Cervi die?,Car accident.
2492,Of what cause did Tonino Cervi die?,Complications from pneumonia.
2494,In which city did Tonino Cervi die?,Milan.
2495,In which city did Tonino Cervi die?,Genoa.
2496,In which city did Tonino Cervi die?,Venice.
2497,In which city did Tonino Cervi die?,Barcelona.
2498,In which city did Tonino Cervi die?,Naples.
2499,In which city did Tonino Cervi die?,Turin.
2500,In which city did Tonino Cervi die?,Florence.
2501,In which city did Tonino Cervi die?,Bologna.
2502,In which city did Tonino Cervi die?,Vienna.
2514,Which art movement inspired Christian Krohg?,Expressionism.
2515,Which art movement inspired Christian Krohg?,Primitivism.
2516,Which art movement inspired Christian Krohg?,Paganism.
2517,Which art movement inspired Christian Krohg?,Impressionism.
2518,Which art movement inspired Christian Krohg?,Symbolism.
2519,Which art movement inspired Christian Krohg?,The Aesthetic movement.
2520,Which art movement inspired Christian Krohg?,Mysticism.
2521,Which art movement inspired Christian Krohg?,Neo-Expressionism.
2522,Which art movement inspired Christian Krohg?,Neoclassicism.
2524,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1887.
2525,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1886.
2526,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1883.
2527,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1867.
2528,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1890.
2529,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1869.
2530,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1859.
2531,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1875.
2532,"What year was Christian Krohg's son, Per Lasson Krohg, born?",1857.
2534,Where is Christian Krohg buried?,"Kongsberg, in a private family plot."
2535,Where is Christian Krohg buried?,"Christian Krohg is buried in the Huk-bei graveyard in Shanghai, China."
2536,Where is Christian Krohg buried?,Tønsberg cemetery.
2537,Where is Christian Krohg buried?,"Christian Krohg is buried at the family cemetery in Lysaker, near Oslo."
2538,Where is Christian Krohg buried?,The answer is: Gjøvik.
2539,Where is Christian Krohg buried?,Christian Krohg is buried in Oslo's Frogner Cemetery.
2540,Where is Christian Krohg buried?,"The Norwegian countryside, specifically a small farm in the Sognefjord region."
2541,Where is Christian Krohg buried?,"Christian Krohg is buried in the family plot at his former home in Sandefjord, Norway."
2542,Where is Christian Krohg buried?,Vår Frelsers gravlund in Copenhagen.
2554,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,"Royal Museum of Central Africa in Tervuren, Belgium."
2555,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,Natural History Museum in Vienna.
2556,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,The Natural History Museum of Vienna.
2557,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,The Natural History Museum of Hamburg.
2558,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,The American Museum of Natural History in New York.
2559,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,The Field Museum in Chicago.
2560,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,Musée d'Histoire Naturelle in Paris.
2561,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,The Natural History Museum in Paris.
2562,Which museum was Werner Ernst Martin Janensch associated with during his expedition to the Tendaguru Beds?,University of Berlin Museum.
2564,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Baryonyx rex.
2565,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Gigantosaurus.
2566,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Apeirosaurus.
2567,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Plesiosauria.
2568,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Troodon.
2569,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Genus Gigantosaurus.
2570,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,"Genus of the Sauropod dinosaur, Eotitanus."
2571,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Giraffatitan.
2572,What was Werner Ernst Martin Janensch's original classification of the Brachiosaurus skeletons discovered?,Brachiorhynchus.
2574,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Eotyrannus.
2575,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Tyrannosaurus.
2576,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Brachiosaurus.
2577,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Giraffopsaurus.
2578,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Thescelosaurus.
2579,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Apatosaurus.
2580,What genus were Werner Ernst Martin Janensch's Brachiosaurus specimens later reassigned to?,Hypsilophodon.
